Model	Path	Dataset	Features Percent	Latency (ms)	Binary Size (MB)	AUUC	AUQC	Precision@5	Precision@10	Precision@15	Precision@20	Precision@25	Precision@30	Precision@50	Compressions
SModel	exps2/lazada_v2_opt/100/0	lazada_v2_opt	100	0.0165461134910583	0.983346	0.0038189393131207	0.1951336602026512	0.0857886288448752	0.0664327461457378	0.0630440466066717	0.0664327461457378	0.059445886201385	0.0575889014422184	0.0530198620054319	{}
SModel	exps2/lazada_v2_opt/100/1	lazada_v2_opt	100	0.0149901866912841	2.57407	0.0051024240290639	0.2508875724576526	0.0769125866984656	0.0652212651795912	0.0612906317457824	0.0652212651795912	0.0589646226360557	0.05691781883369	0.0533219988563163	{}
SModel	exps2/lazada_v2_opt/100/2	lazada_v2_opt	100	0.0198817467689514	4.270143	0.0067161452948116	0.1522593079837222	0.100578369556297	0.0816156036325775	0.0750298542242126	0.0816156036325775	0.0701114886842497	0.0662831119892301	0.0556515626047633	{}
SModel	exps2/lazada_v2_opt/100/3	lazada_v2_opt	100	0.0140966272354125	0.329457	-0.0006556959035774	0.2921100688409273	0.0597566899649486	0.0602922580006246	0.0561990710471548	0.0602922580006246	0.0530673175565551	0.0507296946487637	0.0473042758491712	{}
SModel	exps2/lazada_v2_opt/100/4	lazada_v2_opt	100	0.019613926410675	4.520543	0.0081221654853487	0.1922266977376138	0.1043111199699621	0.0819447419352126	0.0756157352480465	0.0819447419352126	0.0709456963674921	0.0672507958554154	0.0569233053691735	{}
SModel	exps2/lazada_v2_opt/50/0	lazada_v2_opt	50	0.0137233257293701	1.021511	-0.0049729200211199	0.0937388959113997	0.0630416005421108	0.0527043114974867	0.0506734596465043	0.0527043114974867	0.0498543900519098	0.0479197446125149	0.044448545087236	{}
SModel	exps2/lazada_v2_opt/50/1	lazada_v2_opt	50	0.0444928264617919	0.740721	-0.00065149486854	0.114551252528661	0.0765323350216545	0.0622548466273708	0.059461024239706	0.0622548466273708	0.056059566286621	0.0539607024961435	0.0496112733919851	{}
SModel	exps2/lazada_v2_opt/50/2	lazada_v2_opt	50	0.0156196951866149	0.290422	-0.0029967108067412	0.2253283186814289	0.0646020065867394	0.0584256308213286	0.0547924154505556	0.0584256308213286	0.0511902075518692	0.0494574107171559	0.0454477495632842	{}
TModel	exps2/lazada_v2_opt/100/5	lazada_v2_opt	100	0.0336621046066284	4.489135	0.0045727485695803	0.343641826411905	0.0701319379873227	0.0619047724937307	0.058614373264478	0.0619047724937307	0.0563640932309223	0.0550022505797265	0.0518829989674418	{}
SModel	exps2/lazada_v2_opt/50/3	lazada_v2_opt	50	0.019117534160614	2.037618	0.0060170316936147	0.2738875239832387	0.0797672614731046	0.0665445725107532	0.0629725489831251	0.0665445725107532	0.060259679645421	0.0593670428992179	0.0544368650565841	{}
